Date,MarketReturn
19280514,1.689497547
19280515,1.689075172
19280516,1.663654591
19280517,1.671723316
19280518,1.659937666
19280521,1.64093138
19280522,1.618040387
19280523,1.646113388
19280524,1.654755483
19280525,1.658313207
19280528,1.63418475
19280529,1.648810704
19280531,1.664556846
19280601,1.669916719
19280602,1.680804576
19280604,1.649911388
19280605,1.653574191
19280606,1.639882597
19280607,1.631551993
19280608,1.609232362
19280609,1.588505449
19280611,1.552001594
19280612,1.516026197
19280613,1.563811343
19280614,1.578855208
19280615,1.559466866
19280616,1.559186162
19280618,1.528033622
19280619,1.518743178
19280620,1.539884083
19280621,1.542378695
19280622,1.542101067
19280623,1.532262462
19280625,1.53382537
19280626,1.549347683
19280627,1.565182016
19280628,1.57820433
19280629,1.586126916
19280630,1.588220604
19280702,1.569368425
19280703,1.594839275
19280705,1.610038093
19280706,1.605095276
19280707,1.609477186
19280709,1.609847366
19280710,1.605710058
19280711,1.568505756
19280712,1.558671225
19280713,1.569784551
19280714,1.569360709
19280716,1.550261589
19280717,1.5574393
19280718,1.571502977
19280719,1.569192868
19280720,1.571122975
19280721,1.567556526
19280723,1.577479159
19280724,1.578315223
19280725,1.585307159
19280726,1.589000925
19280727,1.601601702
19280728,1.605813915
19280730,1.603935112
19280731,1.602379295
19280801,1.606737767
19280802,1.599700256
19280803,1.60341156
19280804,1.607131475
19280806,1.61905639
19280807,1.61358398
19280808,1.595705469
19280809,1.597811801
19280810,1.594807914
19280811,1.596913061
19280813,1.596306234
19280814,1.585962169
19280815,1.608038763
19280816,1.620935234
19280817,1.625830458
19280818,1.630577883
19280820,1.634523882
19280821,1.650738358
19280822,1.653247481
19280823,1.653445871
19280824,1.676461837
19280825,1.681357106
19280827,1.676682933
19280828,1.686608896
19280829,1.69085915
19280830,1.695627373
19280831,1.715330563
19280901,1.719807576
19280904,1.727047966
19280905,1.734318838
19280906,1.727572337
19280907,1.738991591
19280908,1.733965905
19280910,1.727740967
19280911,1.738815787
19280912,1.74491903
19280913,1.743366052
19280914,1.745824198
19280915,1.756142019
19280917,1.765818362
19280918,1.754005037
19280919,1.752970174
19280920,1.755792456
19280921,1.767749403
19280922,1.763701257
19280924,1.775006582
19280925,1.773959328
19280926,1.771493524
19280927,1.750076168
19280928,1.750443684
19280929,1.768665802
19281001,1.767003257
19281002,1.759511163
19281003,1.754866053
19281004,1.759533997
19281005,1.754712874
19281006,1.754116271
19281008,1.748608346
19281009,1.750986454
19281010,1.767375687
19281011,1.773137332
19281013,1.783173289
19281015,1.790234655
19281016,1.795891797
19281017,1.801566815
19281018,1.807079609
19281019,1.8155006
19281020,1.807802878
19281022,1.805922763
19281023,1.818130801
19281024,1.822421589
19281025,1.817974881
19281026,1.797540843
19281027,1.813287301
19281029,1.826089109
19281030,1.807207348
19281031,1.798641185
19281101,1.822149425
19281102,1.820637041
19281103,1.821674804
19281105,1.842569414
19281107,1.864809227
19281108,1.860464222
19281109,1.874175843
19281110,1.889113024
19281112,1.895857158
19281113,1.897506554
19281114,1.900485639
19281115,1.90765047
19281116,1.941740184
19281117,1.94401202
19281119,1.947647322
19281120,1.969597307
19281121,1.94019122
19281122,1.96748971
19281123,1.972939657
19281126,1.982350579
19281127,1.98823816
19281128,2.01044678
19281130,2.018629299
19281201,2.006557895
19281203,1.992552121
19281204,1.997174842
19281205,1.983234562
19281206,1.913067723
19281207,1.868148893
19281208,1.832878242
19281210,1.862790815
19281211,1.905672259
19281212,1.890846129
19281213,1.884455069
19281214,1.888073223
19281215,1.881502728
19281217,1.874578798
19281218,1.894674283
19281219,1.917448268
19281220,1.924581175
19281221,1.945212685
19281222,1.947585845
19281224,1.964568793
19281226,1.958517921
19281227,1.97148331
19281228,1.997940616
19281229,2.001976456
19281231,2.029243376
19290102,2.059539979
19290103,2.061867259
19290104,2.061516742
19290105,2.043643392
19290107,2.017341701
19290108,2.01296407
19290109,2.037381324
19290110,2.043147113
19290111,2.042595463
19290112,2.037141733
19290114,2.042499416
19290115,2.022748447
19290116,2.041418415
19290117,2.05617787
19290118,2.057267644
19290119,2.061443898
19290121,2.065010196
19290122,2.077462207
19290123,2.088742827
19290124,2.071677798
19290125,2.096392914
19290126,2.103793181
19290128,2.098386433
19290129,2.09299358
19290130,2.100381847
19290131,2.12922009
19290201,2.141526982
19290202,2.142126609
19290204,2.133086835
19290205,2.138163582
19290206,2.12101551
19290207,2.058403132
19290208,2.039012974
19290211,2.08383048
19290213,2.0862894
19290214,2.073521308
19290215,2.040303497
19290216,2.012106503
19290218,2.035004275
19290219,2.039440584
